GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB130514A (00555821),3.6,"79.85 (65.93,121.69)","3.84e+53 (3.37e+53,4.88e+53)",220.320 +/-5.602,"1.0778e-05 (1.0112e-05,1.1597e-05)"
GRB130511A (00555600),1.3033,"149.18 (55.51,764.10)","1.67e+51 (1.14e+51,4.38e+51)",4.950 +/-0.816,"3.6959e-07 (3.0046e-07,4.5443e-07)"
GRB130505A (00555163),2.27,"738.91 (337.15,1812.01)","1.99e+54 (9.23e+53,4.05e+54)",292.810 +/-33.843,"6.4197e-05 (5.9207e-05,6.9682e-05)"
GRB130427B (00554635),2.78,"90.48 (61.11,305.68)","3.09e+52 (2.47e+52,5.88e+52)",7.040 +/-0.263,"1.9596e-06 (1.8111e-06,2.1290e-06)"
GRB130427A (00554620),0.3399,"520.70 (358.27,872.76)","4.46e+53 (3.34e+53,6.42e+53)",324.700 +/-2.505,"7.2806e-04 (7.0925e-04,7.4827e-04)"
GRB130420A (00553977),1.297,"35.43 (31.97,39.52)","5.13e+52 (4.52e+52,5.93e+52)",114.840 +/-4.837,"7.7257e-06 (7.7257e-06,7.7257e-06)"
GRB130418A (00553847),1.217,"30.12 (23.20,39.06)","5.73e+51 (4.68e+51,7.63e+51)",97.920 +/-2.261,"8.4192e-07 (7.7249e-07,9.2487e-07)"
GRB130408A (00553132),3.758,"182.21 (108.10,709.82)","1.16e+53 (8.14e+52,2.63e+53)",5.640 +/-0.309,"2.5808e-06 (2.1386e-06,3.3608e-06)"
GRB130215A (00548760),0.597,"77.88 (55.95,179.80)","7.56e+51 (6.28e+51,1.30e+52)",89.050 +/-8.387,"9.1486e-06 (8.3911e-06,1.0011e-05)"
GRB130131B (00547420),2.539,"300.42 (111.49,852.44)","0 (0,0)",4.740 +/-0.206,"7.2961e-07 (6.3351e-07,8.4123e-07)"
GRB121229A (00544347),2.707,"49.66 (1.00,301.43)","6.92e+51 (5.34e+51,2.20e+52)",26.640 +/-2.145,"4.0281e-07 (2.8648e-07,5.6337e-07)"
GRB121211A (00541200),1.023,"31.66 (1.00,38.49)","6.08e+51 (4.86e+51,1.52e+52)",184.140 +/-2.305,"1.5908e-06 (1.3856e-06,1.8317e-06)"
